,Property_Area,Frequency_of_Powercuts,Traffic_Density_Score,Air_Quality_Index,Neighborhood_Review,Crime_Rate_equivalent,Water_Supply_equivalent,Dust_and_Noise_equivalent,Property_Type_equivalent,Power_Backup_equivalent
5266,809,0.0,5.97,91.0,3.55,20,1.0,20,2,1.0
5267,1128,1.0,6.49,136.0,3.17,40,2.0,20,4,0.0
5268,1131,0.0,6.75,132.0,1.92,10,3.0,20,4,0.0
5269,2110,3.0,5.62,116.0,1.63,20,1.0,20,4,0.0
5270,867,0.0,7.02,139.0,4.11,50,2.0,20,2,1.0
5271,151,1.0,6.33,100.0,2.22,25,1.5,15,1,1.0
5272,1955,2.0,6.54,87.0,3.55,50,1.0,15,4,0.0
5273,1958,1.0,7.51,89.0,3.23,40,2.0,20,4,0.0
5274,807,1.0,3.97,97.0,3.93,50,2.0,10,2,1.0
5275,799,0.0,6.08,102.0,4.79,25,1.5,15,1,1.0
5276,926,0.0,3.44,66.0,3.97,40,2.0,10,5,0.0
5277,952,0.0,6.6,112.0,3.52,50,1.0,20,5,0.0
5278,337,0.0,7.48,83.0,4.8,50,1.0,20,2,1.0
5279,1351,0.0,6.44,113.0,3.83,40,2.0,20,4,0.0
5280,1109,1.0,6.59,111.0,3.52,40,1.0,20,5,0.0
5281,1480,1.0,4.52,106.0,3.22,40,2.0,20,4,0.5
5282,311,0.0,4.46,120.0,3.52,25,1.5,15,1,1.0
5283,846,0.0,6.23,138.0,4.74,50,1.0,20,2,0.0
5284,1163,1.0,7.46,1022.0,2.87,40,2.0,20,5,0.0
5285,907,0.0,6.81,101.0,3.53,20,1.0,20,2,1.0
5286,1639,0.0,6.45,168.0,4.7,50,1.0,20,4,1.0
5287,1811,0.0,5.86,102.0,3.22,20,2.0,20,4,0.0
5288,1939,0.0,5.51,102.0,2.91,20,2.0,20,4,1.0
5289,324,0.0,8.38,195.0,3.02,20,2.0,30,2,0.0
5290,1219,0.0,8.01,192.0,4.6,50,1.0,30,4,0.0
5291,1184,0.0,2.63,65.0,4.92,50,1.0,10,5,0.0
5292,844,1.0,5.92,93.0,3.54,50,2.0,20,2,0.0
5293,1703,1.0,7.43,92.0,1.65,10,2.0,20,4,0.0
5294,1288,2.0,8.58,181.0,2.41,25,1.5,15,1,1.0
5295,22283,2.0,6.8,124.0,3.5,50,1.0,20,5,0.0
5296,726,0.0,7.73,169.0,4.07,40,1.0,15,2,0.0
5297,1725,1.0,5.89,105.0,3.53,50,2.0,20,4,0.0
5298,437,1.0,8.13,129.0,3.74,50,2.0,30,5,0.0
5299,3378,0.0,7.78,128.0,2.86,10,1.0,20,6,0.0
5300,2155,2.0,8.38,184.0,3.35,50,1.0,30,6,0.0
5301,379,0.0,5.27,115.0,4.78,50,1.0,20,2,0.0
5302,1519,0.0,1.53,89.0,4.27,25,1.5,15,1,1.0
5303,795,0.0,5.4,94.0,4.8,50,1.0,20,5,0.0
5304,1567,2.0,7.28,167.0,2.82,50,2.0,15,4,1.0
5305,519,0.0,5.53,106.0,4.79,50,1.0,20,5,0.0
5306,2165,0.0,7.23,93.0,4.79,50,1.0,20,6,0.0
5307,241,0.0,7.6,155.0,4.4,50,2.0,20,1,0.0
5308,771,0.0,7.08,112.0,4.77,50,1.0,20,5,0.0
5309,760,0.0,2.59,99.0,4.56,50,2.0,10,2,0.0
5310,1692,0.0,6.93,85.0,4.18,50,2.0,20,4,0.0
5311,737,0.0,7.75,147.0,2.84,10,1.0,20,2,0.0
5312,1612,1.0,6.85,149.0,3.53,40,1.0,10,4,0.0
5313,1160,1.0,7.3,129.0,3.8,50,2.0,20,4,0.0
5314,941,0.0,7.54,135.0,4.11,50,2.0,20,5,0.0
5315,1210,2.0,4.19,103.0,2.92,40,1.0,20,4,0.0
5316,542,0.0,6.92,142.0,3.79,25,1.5,15,1,1.0
5317,1349,0.0,7.39,85.0,4.8,50,1.0,20,4,0.0
5318,1861,0.0,4.61,84.0,3.56,40,2.0,20,4,0.0
5319,518,0.0,6.67,159.0,3.77,25,3.0,20,2,0.0
5320,511,0.0,6.02,102.0,4.79,50,1.0,20,5,0.0
5321,459,0.0,9.09,154.0,4.64,50,1.0,30,2,0.0
5322,1968,0.0,7.17,152.0,4.09,25,1.5,15,1,1.0
5323,228,1.0,6.9,104.0,3.52,40,1.0,20,2,1.0
5324,1497,2.0,5.66,114.0,2.26,20,1.0,20,4,0.0
5325,3840,1.0,6.36,151.0,3.47,50,2.0,20,6,0.0
5326,1184,0.0,6.1,98.0,3.54,40,2.0,20,4,0.0
5327,2173,1.0,6.88,162.0,2.82,20,1.0,20,4,1.0
5328,1374,3.0,6.83,170.0,2.81,50,1.0,20,4,0.0
5329,991,1.0,7.06,107.0,3.83,50,2.0,20,2,1.0
5330,1957,1.0,7.74,138.0,3.79,50,2.0,20,4,0.0
5331,2073,0.0,3.28,28.0,4.33,40,1.0,15,4,1.0
5332,1761,0.0,4.58,118.0,4.15,40,1.0,20,4,0.0
5333,1660,0.0,6.39,129.0,4.44,50,2.0,20,4,0.0
5334,1382,0.0,8.63,143.0,4.66,50,1.0,30,4,1.0
5335,264,1.0,7.71,131.0,3.8,50,2.0,20,1,0.0
5336,380,0.0,6.81,98.0,4.16,50,2.0,20,1,1.0
5337,1763,0.0,7.58,98.0,4.16,50,2.0,15,4,0.0
5338,300,1.0,7.77,111.0,4.14,50,1.0,20,1,0.0
5339,798,0.0,4.97,107.0,3.53,40,2.0,20,2,1.0
5340,304,0.0,5.51,119.0,4.77,50,1.0,20,2,0.5
5341,345,0.0,6.03,123.0,3.51,40,2.0,20,3,0.0
5342,1796,0.0,7.57,122.0,4.75,50,1.0,20,4,0.0
5343,27251,2.0,5.72,88.0,3.55,50,2.0,20,2,0.0
5344,1567,3.0,5.89,98.0,2.28,40,1.0,20,4,0.0
5345,1703,0.0,7.22,108.0,4.77,50,1.0,20,4,0.0
5346,1352,1.0,8.39,134.0,1.53,10,2.0,30,4,1.0
5347,1119,2.0,7.31,160.0,2.82,25,1.5,15,1,1.0
5348,1820,0.0,4.62,109.0,4.79,50,1.0,20,4,0.0
5349,1876,0.0,7.61,110.0,4.77,50,1.0,20,4,1.0
5350,360,0.0,7.12,139.0,4.11,25,1.5,15,1,1.0
5351,2935,0.0,6.69,117.0,4.76,50,1.0,20,6,0.0
5352,1220,1.0,4.48,108.0,3.22,40,2.0,20,4,0.0
5353,628,1.0,5.5,105.0,3.85,50,2.0,20,2,0.0
5354,510,0.0,6.4,128.0,4.75,25,1.5,15,1,1.0
5355,744,1.0,6.73,95.0,3.54,50,2.0,20,2,0.0
5356,603,1.0,5.4,96.0,2.6,20,2.0,20,2,0.0
5357,1112,0.0,6.67,139.0,4.74,25,1.5,15,1,1.0
5358,1530,0.0,7.9,105.0,4.77,50,1.0,20,4,0.0
5359,2486,1.0,6.8,159.0,2.2,20,2.0,20,6,0.0
5360,1189,0.0,3.35,74.0,2.39,10,2.0,10,4,0.0
5361,379,0.0,4.49,102.0,4.17,40,1.0,15,2,0.0
5362,586,0.0,3.85,36.0,3.06,10,1.0,15,2,0.0
5363,947,0.0,5.88,93.0,4.8,25,1.5,15,1,1.0
5364,309,0.0,7.97,87.0,4.48,50,2.0,20,2,0.0
5365,3496,0.0,7.22,158.0,4.4,50,2.0,20,6,0.0
5366,2138,0.0,5.63,105.0,4.16,50,2.0,20,4,0.5
5367,348,0.0,6.32,120.0,3.82,50,2.0,20,2,1.0
5368,532,1.0,6.01,133.0,3.18,25,1.5,15,1,1.0
5369,821,0.0,5.95,113.0,3.52,20,1.0,20,5,0.0
5370,255,0.0,5.39,102.0,4.79,25,1.5,15,1,1.0
5371,255,0.0,4.7,117.0,2.58,20,3.0,20,1,0.0
5372,145,0.0,8.74,186.0,3.41,20,1.0,20,2,0.0
5373,575,1.0,6.91,134.0,3.17,40,2.0,20,2,0.0
5374,1935,0.0,8.19,165.0,4.63,50,1.0,30,4,0.0
5375,378,0.0,6.14,131.0,4.75,50,1.0,15,2,0.0
5376,255,0.0,5.93,115.0,3.83,40,2.0,20,2,0.0
5377,727,0.0,5.94,80.0,2.93,20,2.0,20,2,0.0
5378,469,0.0,6.41,100.0,4.47,50,2.0,20,1,0.0
5379,1366,1.0,7.03,128.0,4.12,50,1.0,20,4,0.5
5380,1665,0.0,5.54,90.0,3.86,25,1.5,15,1,1.0
5381,1139,1.0,6.83,130.0,2.55,20,2.0,20,5,0.0
5382,2248,1.0,5.59,92.0,2.92,40,2.0,20,4,1.0
5383,336,0.0,8.05,120.0,3.43,40,2.0,30,2,0.0
5384,425,1.0,8.16,190.0,2.72,20,1.0,30,2,0.0
5385,297,0.0,6.82,129.0,4.43,50,2.0,20,1,0.0
5386,498,1.0,5.75,115.0,2.58,20,2.0,20,5,0.0
5387,492,0.0,4.87,97.0,4.17,25,1.5,15,1,1.0
5388,587,0.0,6.05,87.0,4.81,25,1.5,15,1,1.0
5389,2167,1.0,7.42,147.0,3.47,40,1.0,20,4,1.0
5390,2165,0.0,6.06,130.0,2.87,10,1.0,20,4,0.0
5391,1312,0.0,4.12,80.0,3.89,40,2.0,20,4,1.0
5392,217,0.0,8.29,174.0,2.74,20,2.0,30,2,0.0
5393,786,0.0,8.93,163.0,4.0,50,2.0,30,2,0.0
5394,1921,1.0,6.49,81.0,4.18,50,1.0,20,4,0.0
5395,1688,0.0,6.16,119.0,4.77,50,1.0,20,4,0.0
5396,517,0.0,6.23,146.0,4.1,50,2.0,20,5,0.0
5397,1177,0.0,5.71,81.0,3.87,40,2.0,20,5,1.0
5398,2031,3.0,6.78,159.0,2.51,50,2.0,20,4,1.0
5399,2124,0.0,6.12,239.0,3.78,40,2.0,20,4,1.0
5400,598,0.0,6.24,135.0,4.12,50,2.0,20,5,0.0
5401,486,0.0,7.49,153.0,4.4,50,2.0,20,5,0.0
5402,679,2.0,4.51,98.0,2.29,40,2.0,20,2,1.0
5403,244,0.0,7.47,153.0,4.09,50,2.0,20,2,0.0
5404,491,0.0,4.43,104.0,4.17,50,2.0,20,2,0.0
5405,368,1.0,5.04,108.0,2.9,40,2.0,20,2,0.0
5406,327,1.0,8.15,186.0,2.72,20,1.0,15,2,0.0
5407,692,0.0,7.14,108.0,2.89,20,2.0,20,2,1.0
5408,402,0.0,8.19,168.0,4.63,50,1.0,30,5,0.0
5409,404,0.0,6.24,100.0,3.22,20,2.0,20,1,1.0
5410,533,0.0,6.99,140.0,2.54,10,2.0,20,2,0.0
5411,1779,0.0,7.43,100.0,2.9,25,2.0,20,4,0.0
5412,1229,0.0,7.93,82.0,3.55,40,2.0,20,4,0.0
5413,10269,0.0,5.68,100.0,4.16,40,1.0,20,1,0.0
5414,4161,0.0,7.83,156.0,4.71,50,1.0,20,6,0.5
5415,940,0.0,5.89,120.0,4.14,40,1.0,20,5,1.0
5416,1136,1.0,4.7,108.0,2.91,20,1.0,20,4,1.0
5417,697,1.0,3.17,57.0,3.67,40,1.0,10,2,0.0
5418,1530,1.0,8.51,177.0,2.73,40,2.0,30,4,1.0
5419,1416,0.0,7.03,88.0,2.6,10,2.0,20,4,1.0
5420,365,0.0,7.72,129.0,3.8,40,2.0,20,2,1.0
5421,2205,0.0,6.73,95.0,2.91,25,1.0,20,6,0.0
5422,1298,0.0,5.5,116.0,3.52,40,2.0,20,5,0.0
5423,2070,3.0,7.08,124.0,2.24,50,2.0,20,4,0.0
5424,1810,0.0,6.71,164.0,4.08,40,1.0,20,3,0.0
5425,439,0.0,4.41,87.0,4.19,40,1.0,20,2,0.0
5426,4103,0.0,7.8,95.0,3.53,40,2.0,20,6,0.0
5427,1225,0.0,6.15,160.0,4.09,50,2.0,20,4,0.0
5428,571,1.0,4.54,106.0,3.6,25,1.5,15,1,1.0
5429,2695,0.0,7.7,168.0,3.44,40,2.0,20,6,1.0
5430,2198,1.0,6.82,126.0,3.5,25,1.0,20,4,0.0
5431,1449,0.0,6.91,166.0,4.39,50,2.0,20,4,1.0
5432,946,0.0,5.0,104.0,2.91,20,2.0,20,2,0.0
5433,1993,1.0,7.75,162.0,3.13,40,2.0,20,4,0.0
5434,3715,0.0,7.26,162.0,4.08,40,1.0,20,6,0.0
5435,1480,0.0,5.43,84.0,3.87,40,2.0,15,4,0.0
5436,1596,1.0,8.29,129.0,2.79,20,1.0,30,4,1.0
5437,3555,1.0,8.14,139.0,3.16,40,2.0,20,6,0.0
5438,610,0.0,7.81,153.0,4.71,50,1.0,20,2,0.0
5439,213,0.0,7.43,160.0,4.08,40,1.0,20,2,0.0
5440,838,0.0,8.71,200.0,4.58,50,1.0,30,2,0.0
5441,3145,1.0,6.22,83.0,3.56,25,1.5,15,1,1.0
5442,534,2.0,7.18,124.0,3.5,50,1.0,20,2,0.0
5443,891,0.0,5.34,116.0,3.21,40,3.0,20,2,0.0
5444,1767,1.0,7.3,96.0,3.53,50,2.0,20,4,0.0
5445,354,0.0,7.01,124.0,3.81,50,3.0,20,1,0.0
5446,3365,0.0,5.89,83.0,4.81,50,1.0,20,6,0.0
5447,114,0.0,2.83,56.0,4.61,50,2.0,10,2,0.0
5448,1728,0.0,5.72,105.0,3.84,40,2.0,20,4,0.5
5449,1564,0.0,7.02,97.0,4.79,50,1.0,20,4,0.0
5450,1185,0.0,4.76,96.0,3.86,40,2.0,20,4,0.0
5451,1813,1.0,5.35,110.0,4.15,50,1.0,20,6,0.0
5452,418,0.0,7.17,135.0,4.43,50,2.0,20,2,1.0
5453,216,0.0,7.35,160.0,3.14,20,2.0,20,2,0.0
5454,118,0.0,8.12,191.0,3.97,40,1.0,30,2,0.0
5455,3881,1.0,6.0,166.0,3.77,25,1.5,15,1,1.0
5456,1764,0.0,7.42,166.0,4.07,25,2.0,20,4,1.0
5457,1882,2.0,6.72,117.0,3.51,50,1.0,20,4,0.0
5458,295,1.0,5.35,112.0,4.15,50,1.0,20,2,1.0
5459,1113,1.0,7.88,155.0,4.08,25,1.5,15,1,1.0
5460,1970,0.0,6.78,93.0,3.54,40,2.0,20,4,0.0
5461,634,1.0,5.4,111.0,3.53,50,2.0,20,3,0.0
5462,1740,0.0,6.62,100.0,4.79,50,1.0,20,4,0.0
5463,741,0.0,4.11,89.0,3.56,40,2.0,20,2,1.0
5464,815,0.0,6.03,129.0,4.75,25,1.5,15,1,1.0
5465,1805,0.0,6.36,131.0,4.75,50,1.0,20,4,1.0
5466,1654,0.0,7.53,116.0,4.13,50,2.0,20,4,0.0
5467,2058,2.0,7.55,90.0,2.28,40,2.0,20,4,0.0
5468,695,0.0,6.63,146.0,4.1,50,2.0,20,5,0.0
5469,594,0.0,8.33,183.0,3.04,20,2.0,30,2,0.0
5470,699,3.0,6.55,166.0,2.82,50,1.0,15,2,0.0
5471,773,1.0,6.98,141.0,3.48,40,1.0,20,5,0.0
5472,1528,2.0,8.51,185.0,1.15,20,3.0,30,4,1.0
5473,410,0.0,5.74,95.0,4.17,40,1.0,20,2,0.0
5474,1501,0.0,7.13,147.0,4.16,50,1.0,10,4,0.0
5475,1077,0.0,7.26,97.0,4.79,50,1.0,20,5,0.0
5476,335,1.0,7.34,170.0,3.44,50,2.0,20,2,1.0
5477,140,2.0,7.81,169.0,3.44,50,1.0,20,2,0.0
5478,2061,0.0,7.48,86.0,2.6,20,3.0,20,4,0.0
5479,681,1.0,5.01,88.0,3.56,50,2.0,20,2,0.0
5480,1922,1.0,4.6,106.0,3.54,40,1.0,20,4,1.0
5481,715,1.0,5.39,117.0,3.52,25,1.5,15,1,1.0
5482,3278,0.0,4.93,111.0,4.16,40,1.0,20,6,1.0
5483,390,0.0,5.95,97.0,4.17,40,1.0,20,2,1.0
5484,695,0.0,6.99,148.0,4.72,50,1.0,20,5,1.0
5485,674,0.0,9.03,160.0,4.01,40,1.0,30,2,0.0
5486,2241,0.0,7.66,159.0,4.39,50,2.0,20,4,0.0
5487,427,0.0,8.7,195.0,3.34,40,2.0,30,5,0.0
5488,844,1.0,7.63,104.0,3.52,40,1.0,20,2,0.0
5489,160,1.0,7.12,133.0,3.8,50,2.0,20,2,0.0
5490,1194,0.0,7.86,92.0,3.53,20,1.0,20,5,0.0
5491,1151,0.0,5.57,95.0,3.54,20,1.0,20,4,1.0
5492,327,3.0,5.9,112.0,2.27,40,1.0,20,1,0.0
5493,724,2.0,4.89,94.0,2.92,40,1.0,20,5,0.0
5494,1798,0.0,7.27,155.0,3.71,40,2.0,30,4,0.0
5495,2281,0.0,7.54,128.0,3.49,20,1.0,20,4,0.0
5496,426,1.0,7.38,96.0,3.53,25,1.5,15,1,1.0
5497,1490,0.0,5.91,118.0,4.14,40,1.0,20,4,0.0
5498,434,0.0,6.05,124.0,4.76,50,1.0,20,2,1.0
5499,525,0.0,7.11,156.0,4.09,50,2.0,20,2,1.0
5500,1775,0.0,6.58,83.0,4.49,50,2.0,20,4,1.0
5501,250,0.0,6.46,120.0,4.76,50,1.0,20,2,0.0
5502,598,0.0,5.92,96.0,3.54,20,1.0,20,2,0.0
5503,19900,0.0,6.74,161.0,3.77,50,3.0,20,4,0.0
5504,620,2.0,6.86,127.0,3.18,25,1.5,15,1,1.0
5505,910,1.0,7.48,152.0,3.71,50,2.0,30,2,0.0
5506,3958,0.0,5.2,116.0,4.78,50,1.0,20,6,1.0
5507,26079,0.0,7.17,163.0,3.13,20,2.0,20,1,1.0
5508,2285,0.0,5.96,91.0,2.92,20,2.0,20,4,1.0
5509,473,0.0,5.81,81.0,3.56,25,1.5,15,1,1.0
5510,598,0.0,5.98,115.0,3.2,20,2.0,20,2,0.0
5511,787,1.0,7.6,112.0,3.82,50,2.0,20,2,0.0
5512,1022,0.0,7.94,165.0,4.07,25,1.5,15,1,1.0
5513,694,0.0,7.8,1010.0,4.14,40,1.0,20,2,0.0
5514,313,0.0,5.66,94.0,3.86,40,2.0,20,2,0.0
5515,2019,0.0,6.42,148.0,4.1,50,2.0,20,4,0.0
5516,638,0.0,5.58,103.0,4.16,40,1.0,20,2,1.0
5517,1898,0.0,7.18,134.0,4.74,50,1.0,20,4,0.0
5518,2760,0.0,7.11,124.0,4.44,50,2.0,20,6,0.0
5519,1180,3.0,3.58,71.0,3.02,25,1.5,15,1,1.0
5520,385,2.0,4.27,90.0,2.3,40,2.0,20,2,0.0
5521,2651,0.0,4.22,85.0,3.57,40,2.0,20,6,0.0
5522,1919,0.0,6.59,137.0,4.68,50,1.0,30,4,0.0
5523,733,0.0,5.09,91.0,3.24,20,2.0,20,2,0.0
5524,170,1.0,6.55,163.0,2.82,25,1.5,15,1,1.0
5525,554,2.0,7.49,165.0,1.88,40,3.0,20,2,0.0
5526,469,1.0,7.05,161.0,3.77,50,2.0,20,1,1.0
5527,690,0.0,8.07,161.0,4.64,50,1.0,30,2,0.0
5528,896,0.0,7.02,103.0,4.15,50,2.0,20,2,0.0
5529,1578,1.0,5.36,97.0,3.23,40,2.0,20,4,0.0
5530,198,0.0,9.43,168.0,3.37,20,1.0,30,2,0.0
5531,2708,0.0,7.55,165.0,4.7,25,1.5,15,1,1.0
5532,363,0.0,7.37,84.0,4.17,40,1.0,20,1,0.0
5533,795,0.0,6.01,116.0,2.89,10,1.0,20,2,0.0
5534,3072,0.0,7.27,149.0,2.84,10,1.0,20,6,0.0
5535,1295,0.0,6.22,97.0,4.17,50,2.0,20,5,1.0
5536,1557,0.0,4.03,99.0,4.49,50,2.0,20,4,0.0
5537,735,1.0,7.48,85.0,3.54,40,1.0,15,2,0.0
5538,1100,1.0,6.11,147.0,2.85,40,2.0,20,4,0.0
5539,143,1.0,6.07,164.0,4.08,50,1.0,20,2,0.0
5540,874,0.0,7.06,153.0,4.09,50,2.0,20,2,1.0
5541,1738,0.0,7.43,128.0,3.49,40,2.0,20,4,0.0
5542,244,0.0,7.52,80.0,4.12,25,1.5,15,1,1.0
5543,2141,0.0,5.25,86.0,4.5,50,2.0,20,4,1.0
5544,493,0.0,5.95,96.0,4.8,25,1.5,15,1,1.0
5545,1403,0.0,7.66,108.0,4.14,50,2.0,20,4,0.0
5546,216,0.0,5.78,110.0,3.21,40,3.0,20,2,0.0
5547,619,1.0,7.08,169.0,2.81,20,1.0,20,2,0.0
5548,1898,1.0,7.21,121.0,3.81,50,2.0,20,4,0.0
5549,235,0.0,7.18,169.0,3.75,40,2.0,20,2,0.0
5550,380,2.0,5.99,96.0,2.29,20,1.0,20,1,1.0
5551,1072,1.0,6.04,157.0,3.15,40,2.0,20,5,1.0
5552,802,0.0,7.41,85.0,3.86,25,1.5,15,1,1.0
5553,874,0.0,6.41,149.0,4.41,50,2.0,20,5,0.0
5554,15804,1.0,5.94,94.0,4.17,50,1.0,20,4,0.0
5555,1729,0.0,5.74,105.0,4.16,40,1.0,20,4,0.0
5556,525,0.0,6.64,157.0,3.46,40,2.0,20,2,0.0
5557,575,0.0,4.2,104.0,3.23,40,3.0,20,2,0.0
5558,1213,0.0,6.11,90.0,2.92,25,1.5,15,1,1.0
5559,984,0.0,5.39,91.0,4.18,40,1.0,20,5,0.0
5560,809,0.0,5.21,85.0,4.81,25,1.5,15,1,1.0
5561,1835,0.0,5.34,107.0,4.16,40,1.0,20,4,1.0
5562,336,0.0,7.33,151.0,4.72,50,1.0,20,1,0.0
5563,625,0.0,8.53,125.0,3.43,50,2.0,30,5,0.0
5564,718,2.0,4.75,118.0,2.27,40,2.0,20,2,0.0
5565,469,0.0,6.23,148.0,4.73,25,1.5,15,1,1.0
5566,1951,0.0,8.13,127.0,2.8,20,2.0,30,4,0.0
5567,1577,1.0,4.04,82.0,4.2,50,1.0,20,4,1.0
5568,810,0.0,5.46,92.0,3.55,40,2.0,20,2,1.0
5569,870,1.0,6.73,130.0,2.24,10,1.0,20,3,0.0
5570,729,0.0,5.19,112.0,4.47,25,1.5,15,1,1.0
5571,1486,0.0,3.73,41.0,4.31,40,1.0,10,4,0.0
5572,658,2.0,5.8,106.0,2.59,40,2.0,20,2,0.0
5573,961,1.0,2.47,1.0,3.12,40,2.0,10,5,0.0
5574,800,0.0,5.86,118.0,4.14,50,2.0,20,5,0.0
5575,482,0.0,6.73,106.0,4.78,50,1.0,20,5,1.0
5576,2705,0.0,7.3,119.0,4.13,50,2.0,20,6,0.0
5577,1920,3.0,7.38,139.0,2.85,50,1.0,20,4,0.0
5578,1754,0.0,5.64,97.0,3.54,25,1.5,15,1,1.0
5579,1058,0.0,7.69,125.0,4.75,50,1.0,20,5,0.0
5580,395,0.0,7.7,146.0,4.72,50,1.0,20,2,0.0
5581,553,1.0,3.01,87.0,3.01,20,1.0,10,5,1.0
5582,1292,0.0,7.04,87.0,4.17,40,1.0,20,3,0.0
5583,1693,1.0,3.98,21.0,4.02,50,2.0,10,4,0.0
5584,1584,0.0,7.57,156.0,4.71,25,1.5,15,1,1.0
5585,325,0.0,7.21,104.0,4.71,50,1.0,30,2,0.0
5586,343,0.0,7.61,90.0,2.91,10,1.0,20,2,0.0
5587,265,2.0,5.96,99.0,2.91,40,1.0,20,1,0.0
5588,2217,1.0,7.92,128.0,3.17,50,3.0,20,4,0.0
5589,612,1.0,8.52,198.0,3.96,50,1.0,30,2,0.0
5590,950,0.0,7.39,157.0,4.71,50,1.0,20,2,0.0
5591,696,0.0,7.26,124.0,2.56,20,3.0,20,2,0.0
5592,357,3.0,4.63,101.0,1.03,20,2.0,20,2,0.0
5593,16092,0.0,6.07,154.0,3.47,20,1.0,20,4,0.0
5594,362,0.0,5.39,109.0,3.84,40,2.0,20,2,0.0
5595,2141,0.0,8.11,191.0,3.34,25,1.5,15,1,1.0
5596,1477,0.0,5.35,83.0,4.82,50,1.0,20,4,0.0
5597,567,0.0,6.24,162.0,4.71,50,1.0,20,2,0.0
5598,1710,1.0,6.54,166.0,3.76,50,2.0,20,4,0.0
5599,1829,0.0,5.53,105.0,4.16,25,1.5,15,1,1.0
5600,1537,0.0,3.87,84.0,4.26,40,1.0,10,4,0.0
5601,188,0.0,6.26,143.0,4.73,50,1.0,20,2,0.0
5602,887,1.0,6.85,133.0,3.8,50,2.0,20,2,0.0
5603,1633,0.0,4.63,101.0,3.86,40,2.0,20,4,0.0
5604,565,0.0,5.71,98.0,3.85,40,2.0,20,2,1.0
5605,1874,0.0,6.61,156.0,1.89,10,3.0,15,4,0.0
5606,299,1.0,8.63,142.0,3.4,40,1.0,30,2,0.0
5607,386,0.0,5.5,107.0,3.53,20,1.0,20,2,0.0
5608,3784,0.0,6.34,103.0,4.47,25,1.5,15,1,1.0
5609,1278,0.0,6.12,95.0,2.29,10,2.0,20,5,0.0
5610,1191,1.0,5.88,118.0,2.26,20,2.0,20,4,1.0
5611,2086,2.0,3.41,39.0,2.44,40,2.0,10,6,0.0
5612,244,0.0,7.69,113.0,4.14,50,2.0,20,1,1.0
5613,1647,1.0,5.79,82.0,3.25,40,2.0,20,4,1.0
5614,1778,1.0,7.51,744.0,2.87,40,2.0,20,4,1.0
5615,1848,1.0,5.12,84.0,3.56,25,1.5,15,1,1.0
5616,623,0.0,3.94,99.0,3.93,40,2.0,10,2,1.0
5617,2227,0.0,8.35,197.0,3.34,20,1.0,30,4,0.0
5618,490,0.0,6.12,110.0,3.84,40,2.0,20,5,0.0
5619,1291,0.0,4.3,104.0,3.54,40,2.0,20,4,0.0
5620,824,0.0,8.23,127.0,3.42,20,1.0,30,5,0.0
5621,415,0.0,5.9,87.0,3.87,40,2.0,20,5,0.0
5622,597,0.0,5.05,92.0,3.55,25,1.5,15,1,1.0
5623,485,0.0,6.76,137.0,3.48,40,2.0,20,1,0.0
5624,397,0.0,6.23,111.0,4.46,50,2.0,20,1,0.0
5625,253,1.0,6.08,1023.0,3.21,40,2.0,20,2,0.0
5626,1780,1.0,7.08,126.0,4.12,50,1.0,20,4,0.0
5627,537,0.0,7.31,141.0,4.73,25,1.5,15,1,1.0
5628,1470,0.0,7.12,127.0,3.18,20,2.0,20,4,1.0
5629,464,0.0,6.4,99.0,4.48,50,2.0,20,2,1.0
5630,985,2.0,7.16,92.0,3.54,50,1.0,20,2,0.0
5631,505,0.0,7.85,163.0,4.39,50,2.0,20,2,0.0
5632,1173,1.0,6.92,157.0,3.46,50,2.0,20,5,0.0
5633,268,0.0,2.73,40.0,4.32,40,1.0,10,2,1.0
5634,650,1.0,6.48,90.0,3.86,25,1.5,15,1,1.0
5635,116,0.0,5.75,80.0,4.82,50,1.0,20,2,0.0
5636,1733,0.0,7.33,81.0,4.18,50,2.0,20,4,0.0
5637,247,0.0,6.08,152.0,4.72,50,1.0,20,2,0.0
5638,774,1.0,7.17,162.0,4.08,50,1.0,20,2,0.0
5639,1615,1.0,3.79,85.0,2.38,25,1.5,15,1,1.0
5640,719,1.0,8.29,122.0,4.06,25,1.5,15,1,1.0
5641,263,0.0,5.78,86.0,4.5,50,2.0,20,1,0.0
5642,386,0.0,6.79,94.0,4.48,50,2.0,20,2,0.0
5643,970,0.0,7.12,170.0,4.07,25,1.5,15,1,1.0
5644,1145,0.0,7.08,117.0,4.76,50,1.0,20,4,0.0
5645,2275,0.0,6.69,92.0,3.54,20,1.0,20,4,0.0
5646,2223,0.0,6.18,91.0,4.8,50,1.0,20,4,0.0
5647,345,0.0,7.04,102.0,4.15,40,1.0,20,2,0.0
5648,1603,0.0,6.29,109.0,3.84,25,1.5,15,1,1.0
5649,1031,1.0,4.83,82.0,3.56,40,1.0,20,5,0.0
5650,1229,0.0,5.15,117.0,4.15,50,2.0,20,4,0.0
5651,638,2.0,7.98,135.0,3.48,50,1.0,20,5,1.0
5652,1260,0.0,5.48,105.0,4.79,25,1.5,15,1,1.0
5653,1189,0.0,5.74,92.0,4.17,40,1.0,20,3,0.0
5654,1540,0.0,5.57,690.0,3.87,50,3.0,20,4,0.0
5655,847,0.0,7.42,157.0,4.71,50,1.0,20,2,1.0
5656,1380,1.0,6.62,143.0,3.79,25,1.5,15,1,1.0
